timestamp_ms,70886b1235d7,70886b125971,70886b123735
1649057068622.0002,173.413,22.133,306.275
1649057368622.0002,170.3,27.3,304.7
1649057668622.0002,172.433,56.071,308.266
1649057968622.0002,170.3,47.233,303.833
1649058268622.0002,169.5,37.6,301.233
1649058568622.0002,174.133,33.066,297.733
1649058868622.0002,171.5,29.066,298.4
1649059168622.0002,170.466,24.633,295.133
1649059468622.0002,169.9,21.166,286.333
1649059768622.0002,169.4,20.033,289.133
1649060068622.0002,164.034,20,295.965
1649060368622.0002,165.133,20,297.2
1649060668622.0002,163.1,20,299.666
1649060968622.0002,164.766,20,299.466
1649061268622.0002,161.7,20.9,292.366
1649061568622.0002,159.766,20.3,288.133
1649061868622.0002,161.1,20,288.4
1649062168622.0002,161.266,20,288.1
1649062468622.0002,160.066,20.5,282.733
1649062768622.0002,159.4,21.4,276.566
1649063068622.0002,160.482,21.333,278
1649063368622.0002,159,20.833,280.31
1649063668622.0002,160.766,20.034,279.533
1649063968622.0002,157.666,21.4,279.931
1649064268622.0002,158.7,20.466,281.133
1649064568622.0002,156.533,20.7,280.466
1649064868622.0002,157.2,20.866,280.066
1649065168622.0002,158.482,20.5,280.766
1649065468622.0002,155.866,20.4,277.733
1649065768622.0002,157.1,20,275.9
1649066068622.0002,156.533,20,274.766
1649066368622.0002,158.482,20,268.31
1649066668622.0002,159.793,20,216.517
1649066968622.0002,186.033,20.033,194.866
1649067268622.0002,192.9,20,175.166
1649067568622.0002,197.066,20,156.333
1649067868622.0002,190.866,20.233,137.9
1649068168622.0002,187,22.2,125.633
1649068468622.0002,177.666,23.533,116.6
1649068768622.0002,146.633,21.6,107.1
1649069068622.0002,137.266,21.066,98.5
1649069368622.0002,137.103,22,95.31
1649069668622.0002,141.166,25,88.8
1649069968622.0002,144.6,26.965,82.766
1649070268622.0002,145,24.766,75.6
1649070568622.0002,145.666,25.966,69.066
1649070868622.0002,145.9,23.633,63.533
1649071168622.0002,147,31.1,55.933
1649071468622.0002,144.466,38.966,54.233
1649071768622.0002,141.933,35.733,53.933
1649072068622.0002,142.466,33.1,52.033
1649072368622.0002,141.8,40.133,52.068
1649072668622.0002,142.551,36.6,52.166
1649072968622.0002,143.166,35.068,52.533
1649073268622.0002,145.366,36.366,53.333
1649073568622.0002,149.366,37.4,54.666
1649073868622.0002,153.766,50.2,60.1
1649074168622.0002,158.766,64.733,62.466
1649074468622.0002,172.933,69.033,64
1649074768622.0002,250.933,69.9,65.275
1649075068622.0002,248,73.2,69.233
1649075368622.0002,246.166,68.866,69.413
1649075668622.0002,237.714,62.266,70.833
1649075968622.0002,229.793,91.793,70.466
1649076268622.0002,220.133,92.733,70.3
1649076568622.0002,211.7,110.066,73.566
1649076868622.0002,206.833,100.333,74.333
1649077168622.0002,204.3,88,75.633
1649077468622.0002,208.133,97.966,76.333
1649077768622.0002,203.4,99.1,85.466
1649078068622.0002,208.333,89.533,93.1
1649078368622.0002,206.3,86.666,96.033
1649078668622.0002,206.344,90.6,95.344
1649078968622.0002,203,95.724,91.866
1649079268622.0002,198.6,103.166,91.733
1649079568622.0002,189.5,140.066,89.666
1649079868622.0002,191.034,185.275,88
1649080168622.0002,195.933,250.366,89.466
1649080468622.0002,213.833,272.7,89.666
1649080768622.0002,235.166,207.7,92.5
1649081068622.0002,247.066,170.833,95.6
1649081368622.0002,253.566,231.166,95.1
1649081668622.0002,255.3,246,94.896
1649081968622.0002,257.655,286.965,96.466
1649082268622.0002,258.133,221.333,96.833
1649082568622.0002,253.833,183.733,97.366
1649082868622.0002,240.5,180.366,97.333
1649083168622.0002,235.4,149.7,97.966
1649083468622.0002,223.6,136.2,108.3
1649083768622.0002,217.5,126.333,122.433
1649084068622.0002,227.366,122.2,128.533
1649084368622.0002,229.733,127.5,132.533
1649084668622.0002,228.6,209.9,139.31
1649084968622.0002,227.827,259,134.366
1649085268622.0002,222.133,214.066,143.566
1649085568622.0002,227.933,172.533,154.966
1649085868622.0002,235.366,163.533,152.551
1649086168622.0002,255.107,168.866,153.033
1649086468622.0002,267.5,177.7,154.633
1649086768622.0002,264.433,183.666,159.466
1649087068622.0002,264.413,214.769,170.866
1649087368622.0002,262.866,229.333,172.7
1649087668622.0002,253.766,225.766,173.766
1649087968622.0002,245.379,361.2,171.413
1649088268622.0002,233.133,380.827,175.233
1649088568622.0002,225.133,273.133,175.3
1649088868622.0002,210.5,226.3,184.133
1649089168622.0002,204.633,196.6,224.566
1649089468622.0002,209.566,188.933,256.866
1649089768622.0002,212.766,261,279.866
1649090068622.0002,214.533,239.366,297.366
1649090368622.0002,214.366,216.6,307.366
1649090668622.0002,223.866,375.866,313.866
1649090968622.0002,231.517,259.1,319
1649091268622.0002,231.266,225.103,311.833
1649091568622.0002,225.033,245.5,265.2
1649091868622.0002,254.366,300.2,246.6
1649092168622.0002,265.366,319.1,226.466
1649092468622.0002,256.833,281.766,222.7
1649092768622.0002,250.533,201.733,226.1
1649093068622.0002,241.1,245.933,228.3
1649093368622.0002,236.1,237.2,230.333
1649093668622.0002,234.2,165.7,229.8
1649093968622.0002,226.758,151,228.8
1649094268622.0002,224.433,257.793,228.862
1649094568622.0002,220.233,241.2,228
1649094868622.0002,219.4,165.866,238.8
1649095168622.0002,219.033,147.233,246.366
1649095468622.0002,226.366,123.566,261.6
1649095768622.0002,221.133,112.866,268.366
1649096068622.0002,217.033,103.333,269.166
1649096368622.0002,206.066,96.833,267.633
1649096668622.0002,195,81.466,266.533
1649096968622.0002,207.533,91.689,267.642
1649097268622.0002,211.75,88.758,264.5
1649097568622.0002,211.8,79.066,261.033
1649097868622.0002,219.033,70.866,256.133
1649098168622.0002,216.7,65.233,252.266
1649098468622.0002,211.7,64.133,249.433
1649098768622.0002,202.866,71.2,247.366
1649099068622.0002,195.8,76.333,245.5
1649099368622.0002,188.9,99.933,243.333
1649099668622.0002,186.666,108.9,240.8
